s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,temp2_streetname,indzone,township,basiclvl,streetnames,name1,name2,,,,,
BAOJIN,2009,BAO JIN YUAN TECHNICS FACTORY,BAO JIN YUAN TECHNICS FACTORY,-,"NO.4 DONG XING RD., PING XI VILLAGE, PING DI TOWN,",NA,NA,12/17/03,"no.4 dong xing rd., ping xi village, ping di town,",bao jin yuan technics factory,bao jin yuan technics factory,NA,NA,NA,4,dong xing ,NA,ping di ,ping xi ,dong xing ,bao jin yuan technics ,bao jin yuan  ,,,,,
BAOMAR,2009,"BAODING LICHENG MARCOS & ALLEN SHOES CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"baoding licheng marcos & allen shoes co., ltd.",NA,NA,baoding,NA,NA,NA,NA,NA,NA,NA,baoding licheng marcos  allen shoes  , licheng marcos  allen   ,,,,,
BAOWEI,2009,BAO-AN WEINA ELECTRONIC TOYS MANUFACTORY,NA,NA,NA,NA,NA,NA,NA,bao-an weina electronic toys manufactory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baoan weina electronic toys manufactory,baoan weina   ,,,,,
BCCERA,2009,B & C CERAMIC,B & C CERAMIC,-,"Zha Zai Road., Feng Yi Development Zone, Feng Xi District, ,",NA,NA,2003-11-05,"zha zai road., feng yi development zone, feng xi district, ,",b & c ceramic,b & c ceramic,NA,NA,NA,NA,zha zai ,NA,NA,NA,zha zai ,b  c ceramic,b  c ,,,,,
BEACRO,2009,BEAM CROSS LTD,NA,NA,NA,NA,NA,NA,NA,beam cross ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,beam cross ,beam cross ,,,,,
BEAHEA,2009,BEAUTY & HEALTH CHEMICAL INDUSTRIAL BRANCH,BEAUTY & HEALTH CHEMICAL INDUSTRIAL BRANCH,-,"NORTH INDUSTRIAL DISTRICT, ENPING CITY, GUANGDONG PROVINCE, ,",NA,NA,4/23/09,"north industrial district, enping city, guangdong province, ,",beauty & health chemical industrial branch,beauty & health chemical industrial branch,guangdong,NA,enping,NA,NA,north ,NA,NA,NA,beauty  health chemical  branch,  health chemical  branch,,,,,
BEGALT,2009,BESTALL GARMENT LTD,BESTALL GARMENT LTD,NA,"8/F, 9/F, JIN LIN BUILDING, 14 WEST SCIENTIFIC ROAD,GAOXIN AREA, ,",NA,NA,2005-07-08,"8/f, 9/f, jin lin building, 14 west scientific road,gaoxin area, ,",bestall garment ltd,bestall garment ltd,NA,NA,NA,"c(""8"", ""9"", ""14"")",west scientific ,NA,NA,NA,west scientific ,bestall garment ,bestall  ,,,,,
BEHOFA,2009,BEIJING HONGFURUNJIA FASHION CO. LTD.,NA,NA,NA,Woven garments,357,NA,NA,beijing hongfurunjia fashion co. ltd.,NA,beijing,beijing,NA,NA,NA,NA,NA,NA,NA,beijing hongfurunjia fashion  , hongfurunjia   ,,,,,
BEIDEY,2009,"BEIZHEN DEYING KNITTING CO.,LTD","BEIZHEN SHUNDA YARN-DYED CLOTHING CO., LTD",NA,"GOUBANGZI COUNTRY BEIZHEN LIAONING, PROVINCE CHINA, ,",NA,NA,2004-07-09,"goubangzi country beizhen liaoning, province china, ,","beizhen deying knitting co.,ltd","beizhen shunda yarn-dyed clothing co., ltd",liaoning,NA,beizhen,NA,NA,NA,NA,NA,NA,beizhen deying knitting ,   ,,,,,
BEISHI,2009,"BEIJING TAI CHENG SHIRTS CO., LTD.","BEIJING TAI CHENG SHIRTS CO., LTD.",NA,"Lucheng, Huangcun Town, Daxing County, Beijing City,China, ,",NA,NA,4/27/07,"lucheng, huangcun town, daxing county, beijing city,china, ,","beijing tai cheng shirts co., ltd.","beijing tai cheng shirts co., ltd.",beijing,beijing,daxing,NA,NA,NA,huangcun ,NA,NA,beijing tai cheng shirts  , tai cheng   ,,,,,
BEJUWO,2009,BEN JUNIPER WOOL KNITTING (CHINA - S1),BEN JUNIPER WOOL KNITTING (CHINA - S1),NA,"30 BLOCK,CHANGJIANG ROAD,LONGHU AREA, SHANTOU CITY, GUANGDONG PROVINCE,",NA,NA,1/20/00,"30 block,changjiang road,longhu area, shantou city, guangdong province,",ben juniper wool knitting (china - s1),ben juniper wool knitting (china - s1),guangdong,shantou,longhu,30,changjiang ,NA,NA,NA,changjiang ,ben juniper wool knitting ,ben juniper   ,,,,,
BELDON,2009,BELFRY (DONGGUANG) ELECTRONICS CO LTD.,BELFRY (DONGGUANG) ELECTRONICS CO LTD.,-,"1ST INDUSTRIAL ZONE, LIANHU, TANGXIA, DONGGUAN CITY, GUANGDONG, CHINA",NA,NA,2005-07-05,"1st industrial zone, lianhu, tangxia, dongguan city, guangdong, china",belfry (dongguang) electronics co ltd.,belfry (dongguang) electronics co ltd.,guangdong,dongguan,dongguan,1,NA,st ,NA,NA,NA,belfry  electronics  ,belfry    ,,,,,
BENLIG,2009,"BENTIAN LIGHT INDUSTRY (XIAMEN) CO.,LTD","BENTIAN LIGHT INDUSTRY (XIAMEN) CO.,LTD",-,"NO.99, HUIZUO RD., XINYANG INDUSTRIAL PARK, HAICANG DISTRICT, XIAMEN CITY, FUJIAN PROVINCE,",NA,NA,3/18/09,"no.99, huizuo rd., xinyang industrial park, haicang district, xiamen city, fujian province,","bentian light industry (xiamen) co.,ltd","bentian light industry (xiamen) co.,ltd",fujian,xiamen,haicang,99,huizuo ,xinyang ,NA,NA,huizuo ,bentian light   ,bentian    ,,,,,
BERPET,2009,"BERTEGOLDEN PET PRODUCTS CO.,LTD",NA,NA,NA,NA,NA,NA,NA,"bertegolden pet products co.,ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bertegolden pet  ,bertegolden   ,,,,,
BESACT,2009,BESTON ACTION UTILITY WEAR(LIANYUNGANG)CO.LTD.,BESTON ACTION UTILITY WEAR(LIANYUNGANG)CO.LTD.,NA,"YISHAN SOUTH ROAD  16#，, GUANYUN DEVELOPMENT ZONE，, ,",NA,NA,12/27/07,"yishan south road  16#，, guanyun development zone，, ,",beston action utility wear(lianyungang)co.ltd.,beston action utility wear(lianyungang)co.ltd.,NA,lianyungang,guanyun,16,yishan south ,NA,NA,NA,yishan south ,beston action utility wear,beston action  ,,,,,
BESBEL,2009,BEST BELT INC. LIMITED (SUZHOU),BEST BELT INC. LIMITED (SUZHOU),NA,"NO.15 NAN XI ROAD, SHAJIABANG TOWN, CITY OF CHANGSHU, JIANGSU CHINA,",NA,NA,2002-10-09,"no.15 nan xi road, shajiabang town, city of changshu, jiangsu china,",best belt inc. limited (suzhou),best belt inc. limited (suzhou),jiangsu,suzhou,changshu,15,nan xi ,NA,shajiabang ,NA,nan xi ,best belt   ,best    ,,,,,
BESINF,2009,BESTWAY INFLATABLES & MATERIAL CORP,BESTWAY INFLATABLES & MATERIAL CORP,NA,"NO. 3065 CAO AN ROAD, , ,",NA,NA,11/19/07,"no. 3065 cao an road, , ,",bestway inflatables & material corp,bestway inflatables & material corp,NA,NA,NA,3065,cao an ,NA,NA,NA,cao an ,bestway inflatables  material ,bestway inflatables   ,,,,,
BESMET,2009,"BESTMATE PLASTIC METAL CO., LTD",NA,NA,NA,"cloth bags,",280,NA,NA,"bestmate plastic metal co., ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bestmate plastic metal  ,bestmate    ,,,,,
BESPON,2009,BEST PONY LIMITED,BEST PONY LIMITED,-,"No.188, SHUI KOU CENTRE JIN ROAD, DALANG TOWN,DONGGUAN CITY, GUANGDONG,",NA,NA,2012-12-08,"no.188, shui kou centre jin road, dalang town,dongguan city, guangdong,",best pony limited,best pony limited,guangdong,dongguan,dongguan,188,shui kou centre jin ,NA,dalang ,NA,shui kou centre jin ,best pony ,best pony ,,,,,
BESXIA,2009,BEST CONCEPT (XIAMEN) KNITTING IND. CO. LTD.,BEST CONCEPT (XIAMEN) KNITTING IND. CO. LTD.,NA,"7/F BLOCK EAST NO. 52 HU LI ROAD, HU LI DISTRICT, XIAMEN 361006, ,",NA,NA,2/29/08,"7/f block east no. 52 hu li road, hu li district, xiamen 361006, ,",best concept (xiamen) knitting ind. co. ltd.,best concept (xiamen) knitting ind. co. ltd.,NA,xiamen,hu li,"c(""7"", ""52"", ""361006"")",hu li ,NA,NA,NA,hu li ,best concept  knitting   ,best concept     ,,,,,
BETFOO,2009,BETTA FOOTWEAR FACTORY,BETTA FOOTWEAR FACTORY,-,"NO. 3 INDUSTRIAL , BAI DI, ZHANG MU TOU TOWN, ,",NA,NA,2006-08-06,"no. 3 industrial , bai di, zhang mu tou town, ,",betta footwear factory,betta footwear factory,NA,NA,NA,3,NA,NA,zhang mu tou ,NA,NA,betta footwear ,betta  ,,,,,
BETLIT,2009,BETTER LITE INDUSTRIAL LTD.,BETTER LITE INDUSTRIAL LTD.,-,"WEST LAKE INDUSTRY PARK, LIN VILLAGE, TANGXIA TOWN, ,",NA,NA,4/11/00,"west lake industry park, lin village, tangxia town, ,",better lite industrial ltd.,better lite industrial ltd.,NA,NA,NA,NA,NA,NA,tangxia ,lin ,NA,better lite  ,better lite  ,,,,,
BIGPLA,2009,BIGFIELD PLASTIC & WOODEN PRODUCTS FACTORY,BIGFIELD PLASTIC & WOODEN PRODUCTS FACTORY,镇坚塑胶木品厂,"2 ND INDUSTRIAL ZONE, JINXIA, CHANGAN TOWN, ,",NA,NA,9/13/05,"2 nd industrial zone, jinxia, changan town, ,",bigfield plastic & wooden products factory,bigfield plastic & wooden products factory,NA,NA,NA,2,NA,nd ,changan ,NA,NA,bigfield plastic  wooden  ,bigfield     ,,,,,
BILREA,2009,"BILLION REACH HANDICRAFT HANDBAG CO., LTD.","BILLION REACH HANDICRAFT HANDBAG CO., LTD.",-,"49 CHUNGSHAN ROAD, SANKONG DISTRICT, SHITAN TOWN, ZENGCHENG COUNTY, GUANGZHOU CITY,",NA,NA,1/16/03,"49 chungshan road, sankong district, shitan town, zengcheng county, guangzhou city,","billion reach handicraft handbag co., ltd.","billion reach handicraft handbag co., ltd.",NA,guangzhou,zengcheng,49,chungshan ,NA,shitan ,NA,chungshan ,billion reach handicraft handbag  ,billion reach    ,,,,,
BINTEH,2009,BIN TEH HANDICRAFT LTD.,BIN TEH HANDICRAFT LTD.,-,"XINFA INDSTRIAL AREA, XINQIAO VILLAGE, SHAJIN TOWN, BAOAN BOROUGH,",NA,NA,5/27/09,"xinfa indstrial area, xinqiao village, shajin town, baoan borough,",bin teh handicraft ltd.,bin teh handicraft ltd.,NA,NA,baoan,NA,NA,NA,shajin ,xinqiao ,NA,bin teh handicraft ,bin teh  ,,,,,
BLUSWI,2009,BLUBAY SWIMWEAR MANUFACTURING LTD,NA,NA,NA,NA,NA,NA,NA,blubay swimwear manufacturing ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blubay swimwear  ,blubay   ,,,,,
BMAMAN,2009,"BMAN MANUFACTURING(ZHEJIANG) CO., LTD.","BMAN MANUFACTURING(ZHEJIANG) CO., LTD.",NA,"NO.2330 FA ZHAN DA DAO, TONG XIANG CITY, , ,",NA,NA,6/17/08,"no.2330 fa zhan da dao, tong xiang city, , ,","bman manufacturing(zhejiang) co., ltd.","bman manufacturing(zhejiang) co., ltd.",zhejiang,NA,NA,2330,NA,NA,NA,NA,NA,bman   ,bman   ,,,,,
BOAFEN,2009,BAO FENG KNITTING COMPANY LTD.,BAO FENG KNITTING COMPANY LTD.,NA,"PINGTONG 2ND INDUSTRIAL DISTRICT, SANXIANG TOWN, ,",NA,NA,4/27/07,"pingtong 2nd industrial district, sanxiang town, ,",bao feng knitting company ltd.,bao feng knitting company ltd.,NA,NA,NA,2,NA,nd ,sanxiang ,NA,NA,bao feng knitting  ,bao feng   ,,,,,
BOBDON,2009,"BOBAI DONGMEI ARTS AND CRAFTS CO., LTD.","BOBAI DONGMEI ARTS AND CRAFTS CO., LTD.",-,"NO 112 GONGYUAN ROAD, BOBAI COUNTY, ,",NA,NA,6/13/08,"no 112 gongyuan road, bobai county, ,","bobai dongmei arts and crafts co., ltd.","bobai dongmei arts and crafts co., ltd.",NA,NA,NA,112,gongyuan ,NA,NA,NA,gongyuan ,bobai dongmei arts and crafts  ,bobai dongmei     ,,,,,
BOBNAT,2009,"BOBAI NATIONAL WEAVING CRAFTS FACTORY, GUANGXI","BOBAI NATIONAL WEAVING CRAFTS FACTORY, GUANGXI",-,"XING LONG DONG ROAD, DONGCHENG, INDUSTRY DISTRICT, ,",NA,NA,10/19/09,"xing long dong road, dongcheng, industry district, ,","bobai national weaving crafts factory, guangxi","bobai national weaving crafts factory, guangxi",guangxi,NA,NA,NA,xing long dong ,NA,NA,NA,xing long dong ,bobai national weaving crafts  guangxi,bobai national    ,,,,,
BOBSPE,2009,BOBAI SPECIAL ART & CRAFT FACTORY,BOBAI SPECIAL ART & CRAFT FACTORY,NA,"POYANGDI JIANGNING VILLAGE,JIANGNING TOWN, BOBAI COUNTRY , ,",NA,NA,11/28/06,"poyangdi jiangning village,jiangning town, bobai country , ,",bobai special art & craft factory,bobai special art & craft factory,NA,NA,NA,NA,NA,NA,jiangning ,poyangdi jiangning ,NA,bobai special art  craft ,bobai special    ,,,,,
BOFULE,2009,BO FUNG LEATHERGOODS MANUFACTORY,BO FUNG LEATHERGOODS MANUFACTORY,-,"Ming Ying Industrial Zone, Fu-Zhong Road,Banfu Town,Zhongshan Cifty, Guangdong Province, China",NA,NA,1/25/07,"ming ying industrial zone, fu-zhong road,banfu town,zhongshan cifty, guangdong province, china",bo fung leathergoods manufactory,bo fung leathergoods manufactory,guangdong,zhongshan,zhongshan,NA,zhong ,ming ying ,banfu ,NA,zhong ,bo fung leathergoods manufactory,bo fung  ,,,,,
BOGALT,2009,"BONNY GARMENTS  CO.,  LTD.","BONNY GARMENTS  CO.,  LTD.",NA,"YIBEI  INDUSTRIAL  PARK, YIWU, ZHEJIANG, ,",NA,NA,2009-09-09,"yibei  industrial  park, yiwu, zhejiang, ,","bonny garments  co.,  ltd.","bonny garments  co.,  ltd.",zhejiang,NA,yiwu,NA,NA,NA,NA,NA,NA,bonny garments    ,bonny     ,,,,,
BOJLIG,2009,"BOJIE LIGHTS CO., LTD.","BOJIE LIGHTS CO., LTD.",-,"JUQI INDUSTRIAL AREA, HUMEN TOWN, DONGGUAN CITY, GUANGDONG PROVINCE, ,",NA,NA,2/28/07,"juqi industrial area, humen town, dongguan city, guangdong province, ,","bojie lights co., ltd.","bojie lights co., ltd.",guangdong,dongguan,dongguan,NA,NA,juqi ,humen ,NA,NA,bojie lights  ,bojie   ,,,,,
BOLAND,2009,BOLAND (CHINA) LTD. (CHINA - H1),BOLAND (CHINA) LTD.,-,"NO.4 OF JIXIANG ROAD, KENGZI TOWN, LONGGANG DISTRICT, ,",NA,NA,11/5/99,"no.4 of jixiang road, kengzi town, longgang district, ,",boland (china) ltd. (china - h1),boland (china) ltd.,NA,NA,longgang,4,of jixiang ,NA,kengzi ,NA,jixiang ,boland ,boland ,,,,,
BONAND,2009,BONI AND HANSON METAL PLASTIC MANUFACTORY LIMITED,BONI AND HANSON METAL PLASTIC MANUFACTORY LIMITED,-,"No 6 industrial Zone, Nance, Humen town, , ,",NA,NA,2008-02-06,"no 6 industrial zone, nance, humen town, , ,",boni and hanson metal plastic manufactory limited,boni and hanson metal plastic manufactory limited,NA,NA,NA,6,NA,NA,humen ,NA,NA,boni and hanson metal plastic manufactory ,boni  hanson    ,,,,,
BONFAS,2009,BONSAI EUROPEAN FASHION LTD. OF DONGGUAN,BONSAI EUROPEAN FASHION LTD. OF DONGGUAN,NA,"TANGJIAO VILLAGE, CHASHAN TOWN, , ,",NA,NA,8/18/06,"tangjiao village, chashan town, , ,",bonsai european fashion ltd. of dongguan,bonsai european fashion ltd. of dongguan,NA,dongguan,dongguan,NA,NA,NA,chashan ,tangjiao ,NA,bonsai european fashion  of dongguan,bonsai     ,,,,,
BONVEN,2009,BONAFIDE VENTURE KTG EMBROIDERY (W.Y.) LTD.,BONAFIDE VENTURE KTG EMBROIDERY (W.Y.) LTD.,NA,"RENMIN THREE ROAD, FASHUIMI VILLAGE, QIUCHANG TOWN, HUIYANG DISTRICT, ,",NA,NA,3/21/06,"renmin three road, fashuimi village, qiuchang town, huiyang district, ,",bonafide venture ktg embroidery (w.y.) ltd.,bonafide venture ktg embroidery (w.y.) ltd.,NA,NA,huiyang,NA,renmin three ,NA,qiuchang ,fashuimi ,renmin three ,bonafide venture ktg embroidery  ,bonafide venture    ,,,,,
BOSCLO,2009,JIANGSU BOSHIMAN MAKING CLOTHES CO. LTD,JIANGSU BOSHIMAN MAKING CLOTHES CO. LTD,NA,"No.58, JINHU ROAD, JINTAN CITY, JIANGSU PROVINCE, CHINA, ,",NA,NA,10/18/07,"no.58, jinhu road, jintan city, jiangsu province, china, ,",jiangsu boshiman making clothes co. ltd,jiangsu boshiman making clothes co. ltd,jiangsu,NA,jinhu,58,jinhu ,NA,NA,NA,jinhu ,jiangsu boshiman making clothes  , boshiman    ,,,,,
BOTIND,2009,BOTANIC INDUSTRIAL CO. LTD,BOTANIC INDUSTRIAL CO. LTD,-,"37 TANLUO ROAD, TANLUO, LONG HUA, BAOAN, SHENZHEN CITY, GUANGDONG PROVINCE, ,",NA,NA,4/22/08,"37 tanluo road, tanluo, long hua, baoan, shenzhen city, guangdong province, ,",botanic industrial co. ltd,botanic industrial co. ltd,guangdong,shenzhen,long hua,37,tanluo ,NA,NA,NA,tanluo ,botanic   ,botanic   ,,,,,
BOTWOO,2009,"BOTOU SHOUJIN WOODEN PRODUCTS CO., LTD",NA,NA,NA,NA,NA,NA,NA,"botou shoujin wooden products co., ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,botou shoujin wooden   ,botou shoujin    ,,,,,
BOWSPO,2009,BOWKER SPORTSWEAR (HE YUAN) COMPANY LTD,BOWKER SPORTSWEAR (HE YUAN) COMPANY LTD,NA,"ZONE A, FU MIN INDUSTRIAL PARK KE, BA LU, HE YUAN HI-TECH DEVELOPMENT, ZONE HE YUAN,",NA,NA,10/31/08,"zone a, fu min industrial park ke, ba lu, he yuan hi-tech development, zone he yuan,",bowker sportswear (he yuan) company ltd,bowker sportswear (he yuan) company ltd,NA,he yuan,NA,NA,NA,fu min ,NA,NA,NA,bowker sportswear   ,bowker    ,,,,,
BRADAY,2009,BRAND NEW DAYS LTD,NA,NA,NA,NA,NA,NA,NA,brand new days ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brand new days ,brand new days ,,,,,
BRAMET,2009,BRAND & MARK PLASTIC & METAL INDUSTRIAL LTD,BRAND & MARK PLASTIC & METAL INDUSTRIAL LTD,-,"SHA JING 2ND INDUSTRIAL DISTRICT, BAOAN DISTRICT, ,",NA,NA,5/20/04,"sha jing 2nd industrial district, baoan district, ,",brand & mark plastic & metal industrial ltd,brand & mark plastic & metal industrial ltd,NA,NA,baoan,2,NA,nd ,NA,NA,NA,brand  mark plastic  metal  ,brand  mark     ,,,,,
BREFAS,2009,BRENDAN FASHION FACTORY,BRENDAN FASHION FACTORY,NA,"NO.3 INDUSTRIAL ZONE,JIANGSHAN VILLAGE, DONGGUAN, ,",NA,NA,2007-08-09,"no.3 industrial zone,jiangshan village, dongguan, ,",brendan fashion factory,brendan fashion factory,NA,dongguan,dongguan,3,NA,NA,NA,jiangshan ,NA,brendan fashion ,brendan  ,,,,,
BRICIT,2009,BRILLIANT CITY ENT. LTD.,BRILLIANT CITY ENT. LTD.,-,"MU-LUN IND. ZONE, CHANG PING TOWN, ,",NA,NA,2012-07-09,"mu-lun ind. zone, chang ping town, ,",brilliant city ent. ltd.,brilliant city ent. ltd.,NA,NA,NA,NA,NA,NA,chang ping ,NA,NA,brilliant  ent ,brilliant  ent ,,,,,
BRIELE,2009,"BRILLIANT ELECTRONICS (SHENZHEN) CO., LTD.","BRILLIANT ELECTRONICS (SHENZHEN) CO., LTD.",-,"NO. 24, FACTORY BLDG., SHATOUJIAO FREE TRADE ZONE, SHENZHEN CITY, GUANGDONG PROVINCE,",NA,NA,2005-05-04,"no. 24, factory bldg., shatoujiao free trade zone, shenzhen city, guangdong province,","brilliant electronics (shenzhen) co., ltd.","brilliant electronics (shenzhen) co., ltd.",guangdong,shenzhen,NA,24,NA,NA,NA,NA,NA,brilliant electronics   ,brilliant    ,,,,,
BRIGKN,2009,"BRIGHT KNITTING CO.,LTD. (CHINA - S1)","BRIGHT KNITTING CO.,LTD. (CHINA - S1)",NA,"NO. 68, XINTANG TEAM, XIALUO VILLAGE, JIANGPU TOWN,CONGHUA, ,",NA,NA,1/20/00,"no. 68, xintang team, xialuo village, jiangpu town,conghua, ,","bright knitting co.,ltd. (china - s1)","bright knitting co.,ltd. (china - s1)",NA,NA,conghua,68,NA,NA,jiangpu ,xialuo ,NA,bright knitting  ,bright   ,,,,,
BRILIG,2009,BE BRIGHT LIGHTING INC.,BE BRIGHT LIGHTING INC.,-,"BAO-TUN MANAGEMENT REGION, HOUJIE TOWN, ,",NA,NA,10/20/03,"bao-tun management region, houjie town, ,",be bright lighting inc.,be bright lighting inc.,NA,NA,NA,NA,NA,NA,houjie ,NA,NA,be bright lighting ,be bright  ,,,,,
BRIPLA,2009,BRIGHT PLASTIC LTD,NA,NA,NA,NA,NA,NA,NA,bright plastic ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bright plastic ,bright  ,,,,,
BUJKIL,2009,BUJI KILNCRAFT CERAMICS FACTORY,KILNCRAFT CERAMICS (SHENZHEN) LIMITED,-,"UNIT 1-3, 4/F, 622 BULONG ROAD, BANTIAN JIEDAO, LONGGANG, SHENZHEN, CHINA,",NA,NA,2004-04-09,"unit 1-3, 4/f, 622 bulong road, bantian jiedao, longgang, shenzhen, china,",buji kilncraft ceramics factory,kilncraft ceramics (shenzhen) limited,NA,shenzhen,longgang,"c(""1"", ""3"", ""4"", ""622"")",bulong ,NA,NA,NA,bulong ,buji kilncraft ceramics ,buji kilncraft  ,,,,,
BUSLON,2009,"BUSINESS FAITH (LONGNAN) TEXTILES & GARMENT CO., LTD","BUSINESS FAITH (LONGNAN) TEXTILES & GARMENT CO., LTD",NA,"POSTAL CODE 341711, LIREN TOWN, LONGNAN INDUSTRIAL DISTRICT, LONGNAN COUNTRY,",NA,NA,2003-04-09,"postal code 341711, liren town, longnan industrial district, longnan country,","business faith (longnan) textiles & garment co., ltd","business faith (longnan) textiles & garment co., ltd",NA,longnan,NA,341711,NA,longnan ,liren ,NA,NA,business faith  textiles  garment  ,business faith      ,,,,,
CAAPFT,2009,CANBORRA APPAREL FTY,CANBORRA APPAREL FTY,NA,"NO. 23, SHILONG INFORMATION INSUSTRIAL PARK, SHILONG TOWN, ,",NA,NA,5/17/06,"no. 23, shilong information insustrial park, shilong town, ,",canborra apparel fty,canborra apparel fty,NA,NA,NA,23,NA,NA,shilong ,NA,NA,canborra apparel ,canborra  ,,,,,
CAIELE,2009,"CAILI ELECTRON (SHENZHEN) CO.,LTD.","CAILI ELECTRON (SHENZHEN) CO.,LTD.",-,"NO.48, 228INDUSTRIAL DIST., HENGGANG,LONGGANG, SHENZHEN CITY, GUANGDONG PROVINCE, CHINA, ,",NA,NA,2003-11-04,"no.48, 228industrial dist., henggang,longgang, shenzhen city, guangdong province, china, ,","caili electron (shenzhen) co.,ltd.","caili electron (shenzhen) co.,ltd.",guangdong,shenzhen,longgang,"c(""48"", ""228"")",NA,NA,NA,NA,NA,caili electron  ,caili electron  ,,,,,
CALGIF,2009,CALVIN GIFTS AND HOME PRODUCTS LTD (HUIZHOU),CALVIN GIFTS AND HOME PRODUCTS LTD (HUIZHOU),惠州凯祥工艺品实业有限公司,"NINTH DISTRICT, DAXIN GROUP, CHENJIANG TOWN,HUICHENG DISTRICT, ,",NA,NA,2008-07-07,"ninth district, daxin group, chenjiang town,huicheng district, ,",calvin gifts and home products ltd (huizhou),calvin gifts and home products ltd (huizhou),NA,huizhou,huicheng,NA,NA,NA,chenjiang ,NA,NA,calvin gifts and home   ,calvin      ,,,,,
CAMAIN,2009,"CAMP MASTER INTERNATIONAL (QD) CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"camp master international (qd) co., ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,camp master    ,camp master    ,,,,,
CAMCHI,2009,CAMFORD (CHINA) MANUFACTORY,CAMFORD METALWARE MANUFACTURING (SHENZHEN) LIMITED,-,"1st floor of Block 1 east, Block 9,10,11,12,13 &, 101+103 of Block 14, the 2nd industrial village, Songgan Street, Baoan district, Shenzhen,",NA,NA,2005-02-03,"1st floor of block 1 east, block 9,10,11,12,13 &, 101+103 of block 14, the 2nd industrial village, songgan street, baoan district, shenzhen,",camford (china) manufactory,camford metalware manufacturing (shenzhen) limited,NA,shenzhen,baoan,"c(""1"", ""1"", ""9"", ""10"", ""11"", ""12"", ""13"", ""101"", ""103"", ""14"", ""2"")",songgan ,nd ,NA,nd industrial ,songgan ,camford  manufactory,camford  ,,,,,
CANFIN,2009,CANFINE TOYS LIMITED,CANFINE TOYS LIMITED,-,"INDUSTRIAL ZONE,  NINGDU, , ,",NA,NA,4/25/08,"industrial zone,  ningdu, , ,",canfine toys limited,canfine toys limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,canfine toys ,canfine  ,,,,,
CANFTY,2009,CANTEX GARMENT FACTORY,CANTEX GARMENT FACTORY,NA,"XIA SHA DISTRICT, SHIPAI TOWN, , ,",NA,NA,11/14/05,"xia sha district, shipai town, , ,",cantex garment factory,cantex garment factory,NA,NA,NA,NA,NA,NA,shipai ,NA,NA,cantex garment ,cantex  ,,,,,
CANRON,2009,CANG NAN RONG JUN CRAFT FACTORY,NA,NA,NA,NA,NA,NA,NA,cang nan rong jun craft factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cang nan rong jun craft ,cang nan rong jun  ,,,,,
CAOHAN,2009,CAOXIAN XIANGHUA HANDICRAFT FACTORY,CAOXIAN XIANGHUA HANDICRAFT FACTORY,NA,"Longhuadian Village, Pulianji Town, Caoxian County, Heze City, Shandong Province, ,",NA,NA,11/18/09,"longhuadian village, pulianji town, caoxian county, heze city, shandong province, ,",caoxian xianghua handicraft factory,caoxian xianghua handicraft factory,shandong,heze,NA,NA,NA,NA,pulianji ,longhuadian ,NA,caoxian xianghua handicraft ,caoxian xianghua  ,,,,,
CARCH1,2009,CARSAN(SHUNDE)MANUFACTURING COMPANY LIMITED (CHINA - H1),CARSAN(SHUNDE)MANUFACTURING COMPANY LIMITED (CHINA - H1),-,"CHEN CUN INDUSTRIAL ZONE, SHUNDE DISTRICT,FOSHAN CITY, GUANGDONG PROVINCE,",NA,NA,3/20/02,"chen cun industrial zone, shunde district,foshan city, guangdong province,",carsan(shunde)manufacturing company limited (china - h1),carsan(shunde)manufacturing company limited (china - h1),guangdong,foshan,shunde,NA,NA,chen cun ,NA,NA,NA,carsan,carsan,,,,,
CASKNI,2009,CASON KNITTING FACTORY,CASON KNITTING FACTORY,NA,"SHANGTUN VILLAGE, LIAOBU TOWN, DONGGUANG,GUANGDONG, CHINA,",NA,NA,4/27/07,"shangtun village, liaobu town, dongguang,guangdong, china,",cason knitting factory,cason knitting factory,guangdong,dongguan,NA,NA,NA,NA,liaobu ,shangtun ,NA,cason knitting ,cason  ,,,,,
